name;real_name;Creador;creation_date;superpowers;intelligence_score;strength_score;speed_score;durability_score;Creador;type_race;height ;weight ;has_telepathy;has_magic;has_immortality
3-D Man;Delroy Garrett, Jr.;Lego;22/1/82;Super Speed, Super Strength;42;95;51;30;Bad;God_Eternal;51.87;511.68;0.0;0.0;0.0
514A (Gotham);Bruce Wayne;Lego;2/2/44;Durability, Reflexes, Super Strength;43;57;86;90;Bad;God_Eternal;248.49;846.64;0.0;0.0;0.0
Aa;Aa;Shueisha;8/2/67;;40;22;72;78;Good;Mutant;241.3;367.51;0.0;0.0;0.0
Aaron Cash;Aaron Cash;DC_Comics;21/6/90;Weapon-based Powers, Weapons Master;43;66;41;43;Good;Mutant;51.97;936.67;0.0;0.0;0.0
Aayla Secura;Aayla Secura;Marvel_Comics;6/7/39;Accelerated Healing, Agility, Astral Projection, Cloaking, Danger Sense;74;95;98;41;Bad;God_Eternal;142.36;46.59;0.0;0.0;0.0
Abe Sapien;Abraham Sapien;Lego;23/3/63;;34;80;7;93;Good;Mutant;63.38;211.56;0.0;1.0;0.0
Abin Sur;;Lego;8/6/87;Lantern Power Ring;77;80;59;71;Bad;Human;93.99;654.04;1.0;0.0;0.0
Abomination;Emil Blonsky;Dark_Horse_Comics;29/1/73;;87;21;47;61;Good;Mutant;261.96;179.46;0.0;0.0;0.0
Abra Kadabra (CW);Unknown;Dark_Horse_Comics;9/10/50;Dimensional Travel, Illusions, Intelligence, Intuitive aptitude, Matter Manipulation, Technopath/Cyberpath, Teleportation;76;18;12;47;Bad;MetaHuman;224.93;918.43;0.0;0.0;0.0
Abra Kadabra;Abhararakadhararbarakh;Dark_Horse_Comics;16/5/08;Animation, Astral Projection, Dimensional Travel, Hypnokinesis, Illusions, Immortality, Intelligence, Longevity, Magic, Marksmanship, Matter Manipulation, Possession, Precognition, Probability Manipulation, Stamina, Stealth, Time Manipulation, Time Travel;79;80;15;80;Good;Mutant;38.89;326.95;0.0;1.0;1.0
Abraxas;Abraxas;Marvel_Comics;15/8/72;;41;89;17;38;Bad;Human;59.65;332.25;0.0;0.0;0.0
Absorbing Man (MCU);Carl Creel;Other;15/11/05;Agility, Camouflage, Cold Resistance, Durability, Elemental Transmogrification, Energy Absorption, Fire Resistance, Heat Resistance, Intangibility, Invulnerability, Matter Absorption, Natural Armor, Stamina, Super Strength;62;79;14;76;Bad;Mutant;27.19;223.22;0.0;0.0;0.0
Absorbing Man;Carl Creel;Dark_Horse_Comics;17/7/03;;84;52;95;49;Neutral;Mutant;53.05;435.37;1.0;0.0;0.0
Ace Morgan;Kyle Morgan;Marvel_Comics;11/4/23;Agility, Banish, Energy Blasts, Enhanced Sight, Intelligence, Intuitive aptitude, Magic, Marksmanship, Peak Human Condition, Reflexes, Stamina, Summoning, Weapon-based Powers, Weapons Master;58;90;44;96;Bad;Alien;278.02;479.92;0.0;1.0;0.0
Achilles Warkiller;Achilles Warkiller;Shueisha;12/10/95;Accelerated Healing, Agility, Durability, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Enhanced Smell, Fire Resistance, Flight, Intelligence, Invulnerability, Longevity, Marksmanship, Master Martial Artist, Master Tactician, Radar Sense, Reflexes, Regeneration, Spatial Awareness, Stamina, Super Speed, Super Strength, Weapon-based Powers, Weapons Master;10;30;21;65;Bad;Mutant;269.68;229.56;0.0;0.0;0.0
Acidicus;Acidicus;Lego;31/10/58;Accelerated Healing, Adaptation, Agility, Animal Attributes, Animal Control, Animal Oriented Powers, Camouflage, Cold Resistance, Dexterity, Durability, Element Control, Endurance, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Enhanced Smell, Enhanced Touch, Fear Manipulation, Fire Resistance, Heat Resistance, Illusions, Intelligence, Invulnerability, Jump, Longevity, Marksmanship, Mind Control, Natural Armor, Natural Weapons, Peak Human Condition, Reflexes, Regeneration, Self-Sustenance, Stamina, Stealth, Summoning, Super Speed, Super Strength, Toxin and Disease Control, Toxin and Disease Resistance, Underwater breathing, Vision - Infrared, Vision - Night, Vision - Telescopic, Vision - Thermal, Weapon-based Powers, Weapons Master;100;34;85;91;Good;Alien;258.83;140.63;0.0;0.0;0.0
A'dal;;Shueisha;3/2/78;Element Control, Heat Generation, Light Control, Matter Manipulation;66;41;12;14;Good;Other;70.91;456.26;0.0;0.0;0.0
Adam Monroe;;Other;1/4/96;Accelerated Healing, Immortality, Regeneration;36;75;49;45;Neutral;MetaHuman;205.77;963.12;1.0;0.0;0.0
Adam Strange;Adam Strange;Other;24/8/68;Agility, Durability, Enhanced Sight, Fire Resistance, Flight, Intelligence, Marksmanship, Master Martial Artist, Master Tactician, Power Suit, Reflexes, Stamina, Stealth, Super Speed, Vision - Telescopic, Weapons Master;71;12;17;85;Bad;God_Eternal;100.2;737.05;0.0;0.0;0.0
Agent 13 (MCU);Sharon Carter;Marvel_Comics;19/11/63;Intelligence, Peak Human Condition, Weapon-based Powers, Weapons Master;48;51;55;90;Bad;Alien;40.46;674.88;0.0;0.0;1.0
Agent 13;Sharon Carter;Dark_Horse_Comics;9/11/59;Agility, Camouflage, Endurance, Intelligence, Marksmanship, Peak Human Condition, Reflexes, Stamina, Stealth, Weapon-based Powers, Weapons Master;57;84;88;76;Neutral;Mutant;77.09;418.91;0.0;0.0;0.0
Agent Bob;Bob;Other;3/6/60;Stealth;62;70;84;72;Neutral;Mutant;239.14;681.97;0.0;1.0;0.0
Agent Carter;Carter;Lego;28/10/51;Agility, Hacking, Weapons Master;68;33;17;40;Bad;Mutant;135.27;260.64;1.0;0.0;0.0
Amanda Carter (sister-in-law; deceased);Shueisha;18/7/59;;12;32;57;77;Neutral;MetaHuman;55.14;451.94;0.0;0.0;0.0
Agent Coulson (Destroyer Gun);Coulson;Other;16/8/88;Energy Beams, Fire Control, Hacking, Intelligence, Weapon-based Powers, Weapons Master;45;39;51;72;Good;MetaHuman;75.73;326.79;0.0;0.0;0.0
Agent Coulson (MCU);Phillip J. Coulson;Marvel_Comics;22/2/56;Agility, Dexterity, Endurance, Intelligence, Reflexes, Stealth, Super Speed, Weapon-based Powers, Weapons Master;37;93;82;57;Bad;Mutant;146.14;893.8;0.0;1.0;1.0
Agent May (MCU);Melinda May;Dark_Horse_Comics;16/3/12;Agility, Intelligence, Stealth, Weapon-based Powers, Weapons Master;72;27;26;6;Good;Human;73.47;913.1;0.0;0.0;0.0
Agent Zero (FOX);David North;DC_Comics;26/7/46;Absorption, Agility, Energy Absorption, Marksmanship, Reflexes;90;95;29;94;Bad;Alien;183.25;920.48;0.0;0.0;0.0
Agent Zero;Christoph Nord;DC_Comics;18/5/39;Energy Absorption, Energy Beams, Energy Blasts, Longevity, Power Suit, Super Strength;79;19;44;67;Neutral;Mutant;298.38;212.57;1.0;0.0;0.0
A.I.M. Agent;;Marvel_Comics;25/12/04;Marksmanship, Stealth, Weapons Master;43;33;61;34;Bad;Mutant;103.89;544.69;0.0;1.0;0.0
Air-Walker;Gabriel Lan;Shueisha;22/9/04;;87;15;31;48;Bad;Other;116.32;376.79;0.0;0.0;0.0
Ajax (FOX);Francis;DC_Comics;20/8/46;Dexterity, Durability, Intelligence, Invulnerability, Reflexes, Super Strength, Weapons Master;22;22;57;88;Neutral;Other;175.27;276.18;0.0;0.0;0.0
Ajax;Francis;Lego;4/12/69;;72;48;68;81;Good;God_Eternal;184.77;293.66;0.0;0.0;0.0
Akita;Akita;Shueisha;12/5/82;Adaptation, Agility, Animal Attributes, Animal Control, Animal Oriented Powers, Cold Resistance, Dexterity, Durability, Endurance, Enhanced Senses, Intelligence, Longevity, Master Martial Artist, Peak Human Condition, Perfect Recollection, Reflexes, Shapeshifting, Stealth, Transformation, Weapon-based Powers, Weapons Master;34;16;27;81;Good;God_Eternal;138.07;20.05;1.0;0.0;0.0
Alex Danvers (CW);Alex Danvers;DC_Comics;7/3/86;Agility, Intelligence, Weapon-based Powers, Weapons Master;62;93;10;62;Bad;Mutant;23.66;865.61;0.0;0.0;0.0
Alex Mercer;Alexander J. Mercer;Lego;15/6/85;;78;26;94;25;Neutral;Human;221.32;86.68;0.0;0.0;1.0
Alfred (DCEU);Alfred Pennyworth;Dark_Horse_Comics;26/10/62;Intelligence, Marksmanship, Weapons Master;97;70;50;91;Bad;Alien;211.98;60.39;0.0;0.0;0.0
Alfred Pennyworth;Alfred Thaddeus Crane Pennyworth;Dark_Horse_Comics;27/12/93;;68;54;27;16;Bad;Other;68.66;480.84;0.0;1.0;0.0
Alien;Xenomorph;DC_Comics;4/8/47;;61;12;62;76;Neutral;MetaHuman;106.25;772.17;1.0;0.0;0.0
Alita;Alita;Dark_Horse_Comics;22/3/37;Accelerated Healing, Agility, Danger Sense, Durability, Heat Generation, Invulnerability, Longevity, Marksmanship, Reflexes, Stamina, Stealth, Super Speed, Super Strength, Weapons Master;5;35;5;51;Good;God_Eternal;218.62;531.54;0.0;0.0;0.0
All-father Hercules;Hercules;Other;8/1/98;Accelerated Healing, Agility, Cold Resistance, Electrokinesis, Element Control, Energy Beams, Energy Blasts, Energy Manipulation, Energy Resistance, Flight, Heat Resistance, Immortality, Intelligence, Invulnerability, Jump, Marksmanship, Nigh-Omnipotent, Reflexes, Regeneration, Seismic Power, Self-Sustenance, Shapeshifting, Size Changing, Stamina, Super Speed, Super Strength, Toxin and Disease Resistance, Weapons Master;47;75;88;9;Good;God_Eternal;133.02;890.27;0.0;0.0;0.0
Allan Quatermain;;DC_Comics;27/1/61;;93;32;88;79;Bad;MetaHuman;207.7;533.46;0.0;1.0;1.0
Altaïr Ibn-La'Ahad;Altaïr Ibn-La'Ahad;Shueisha;4/2/81;Agility, Danger Sense, Energy Manipulation, Intelligence, Marksmanship, Mind Control, Peak Human Condition, Power Suit, Reflexes, Spatial Awareness, Stamina, Stealth, Vision - Cryo, Weapons Master;36;19;100;48;Neutral;Other;136.12;491.32;0.0;0.0;0.0
Alucard;Dracula;Shueisha;17/10/46;;91;60;95;56;Neutral;MetaHuman;208.89;934.55;0.0;0.0;0.0
Amadeus Cho;Amadeus Cho;Shueisha;27/4/46;Electrokinesis, Energy Beams, Intelligence, Weapon Creation, Weapon-based Powers, Weapons Master;44;87;17;8;Good;MetaHuman;135.09;488.44;1.0;0.0;0.0
Amanda Waller;Amanda Waller;Marvel_Comics;15/9/66;;23;28;15;9;Neutral;Other;212.2;175.0;0.0;1.0;0.0
A.M.A.Z.O. (CW);;Other;15/12/85;Afterimage Creation, Cold Resistance, Cryokinesis, Elasticity, Electrokinesis, Element Control, Energy Absorption, Enhanced Hearing, Flight, Heat Resistance, Intangibility, Mind Control Resistance, Portal Creation, Radiation Immunity, Shapeshifting, Super Breath, Telepathy Resistance, Time Travel, Toxin and Disease Resistance, Vision - Heat, Vision - Telescopic, Vision - X-Ray, Weapons Master, Wind Control;36;27;75;31;Bad;Other;172.43;254.86;0.0;0.0;0.0
Amazo;;Lego;18/3/37;Agility, Camouflage, Cryokinesis, Duplication, Durability, Energy Blasts, Energy Constructs, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Smell, Fire Control, Flight, Force Fields, Intelligence, Invisibility, Invulnerability, Jump, Lantern Power Ring, Longevity, Magnetism, Marksmanship, Phasing, Power Absorption, Power Augmentation, Reflexes, Shapeshifting, Size Changing, Stamina, Super Breath, Super Speed, Super Strength, Telepathy, Teleportation, Time Travel, Underwater breathing, Vision - Heat, Vision - Microscopic, Vision - Night, Vision - Telescopic, Vision - Thermal, Vision - X-Ray, Water Control, Weapon-based Powers;50;35;61;83;Neutral;MetaHuman;296.0;822.46;0.0;0.0;0.0
Ammo;;Lego;20/4/86;Weapons Master;32;63;9;43;Bad;Other;32.68;770.95;0.0;0.0;0.0
Amygdala;Aaron Helzinger;Other;3/4/08;Durability, Insanity, Invulnerability, Peak Human Condition, Super Strength;66;63;41;7;Neutral;Human;241.69;156.83;1.0;0.0;0.0
Anacondrai Serpent;;Dark_Horse_Comics;12/5/10;Accelerated Healing, Agility, Animal Attributes, Animal Control, Animal Oriented Powers, Camouflage, Cold Resistance, Durability, Endurance, Energy Resistance, Enhanced Hearing, Enhanced Senses, Enhanced Sight, Enhanced Smell, Enhanced Touch, Fire Resistance, Heat Resistance, Invisibility, Invulnerability, Longevity, Natural Armor, Reflexes, Regeneration, Self-Sustenance, Stamina, Stealth, Super Speed, Super Strength, Toxin and Disease Resistance, Wallcrawling;25;61;5;81;Bad;MetaHuman;141.4;491.45;0.0;0.0;0.0
Ancalagon;;Shueisha;7/5/52;;42;33;50;12;Bad;Mutant;214.79;893.66;0.0;0.0;1.0
Ancient One (MCU);;DC_Comics;20/4/96;Astral Projection, Darkforce Manipulation, Dimensional Travel, Element Control, Energy Manipulation, Immortality, Magic, Portal Creation, Precognition, Reality Warping, Teleportation, Time Manipulation;55;13;34;15;Good;Other;69.07;722.52;0.0;0.0;0.0
Ando Masahashi;Ando Masahashi;Shueisha;19/4/63;;10;60;97;37;Bad;Mutant;134.39;971.39;0.0;1.0;0.0
Angel Dust;Christina;DC_Comics;9/11/07;Agility, Stamina, Super Speed, Super Strength;78;9;65;87;Bad;Alien;122.82;959.74;1.0;0.0;0.0
Angel Of Death;;Marvel_Comics;10/8/39;Accelerated Healing, Agility, Dexterity, Durability, Endurance, Enhanced Senses, Flight, Immortality, Intelligence, Jump, Longevity, Marksmanship, Reflexes, Regeneration, Stamina, Stealth, Super Speed, Super Strength, Weapons Master;91;23;82;80;Bad;MetaHuman;90.38;805.28;0.0;0.0;0.0
Angel Salvadore (FOX);Angel Salvadore;Lego;21/3/48;Animal Attributes, Animal Oriented Powers, Energy Blasts, Flight, Regeneration, Toxin and Disease Control;36;93;32;42;Neutral;Alien;185.32;658.81;0.0;0.0;0.0
Angel Salvadore;Angel Salvadore Bohusk;Lego;8/11/06;;15;10;42;43;Neutral;Other;131.32;825.71;0.0;1.0;1.0
Angel;Liam;Lego;13/4/83;;100;24;87;75;Neutral;Other;288.05;212.26;0.0;0.0;0.0
Angela;Aldrif Odinsdottir;Shueisha;21/12/97;Accelerated Healing, Agility, Durability, Enhanced Senses, Flight, Immortality, Intelligence, Longevity, Marksmanship, Reflexes, Stamina, Super Speed, Super Strength, Weapons Master;83;12;11;29;Neutral;MetaHuman;213.99;350.68;0.0;0.0;0.0
Animal Man;Bernhard Baker;DC_Comics;4/4/72;;17;43;5;42;Bad;Alien;86.37;188.61;1.0;0.0;0.0
Annabeth Chase (FOX);Annabeth Chase;Marvel_Comics;25/12/85;Intelligence, Weapon-based Powers, Weapons Master;71;33;56;41;Bad;God_Eternal;162.07;384.16;0.0;1.0;0.0
Annihilus;Annihilus;Lego;15/7/13;Agility, Durability, Flight, Reflexes, Stamina, Super Speed, Super Strength;43;75;23;13;Bad;Mutant;28.25;280.97;0.0;0.0;0.0
Ant-Man II;Scott Lang;Shueisha;6/7/99;;90;6;42;66;Neutral;Alien;210.05;211.98;0.0;0.0;0.0
Ant-Man (MCU);Hank Pym;DC_Comics;11/2/11;Agility, Animal Control, Density Control, Durability, Intelligence, Intuitive aptitude, Power Suit, Size Changing, Stamina, Stealth, Super Strength;88;84;9;37;Good;MetaHuman;110.21;955.77;0.0;0.0;0.0
Ant-Man;Hank Pym;Other;25/11/37;;8;42;26;100;Bad;Human;242.87;27.09;1.0;0.0;0.0
Anti-Monitor;Mobius;DC_Comics;6/11/44;Accelerated Healing, Darkforce Manipulation, Dimensional Awareness, Durability, Energy Absorption, Energy Beams, Energy Blasts, Energy Constructs, Flight, Immortality, Intelligence, Invulnerability, Matter Absorption, Molecular Manipulation, Power Augmentation, Power Suit, Reality Warping, Size Changing, Super Strength, Telepathy, Teleportation, Time Manipulation, Time Travel;23;15;100;25;Neutral;MetaHuman;282.86;364.87;0.0;0.0;0.0
Anti-Spawn;The Redeemer;Dark_Horse_Comics;29/8/65;Agility, Astral Projection, Durability, Element Control, Energy Blasts, Energy Manipulation, Fire Control, Invulnerability, Magic, Mind Control, Possession, Reflexes, Stamina, Super Speed, Super Strength, Teleportation;65;94;74;49;Good;Alien;127.49;535.84;0.0;0.0;1.0
Anti-Venom;Eddie Brock;Other;18/8/64;Accelerated Healing, Camouflage, Danger Sense, Durability, Elasticity, Enhanced Senses, Reflexes, Shapeshifting, Stamina, Super Strength, Symbiote Costume, Toxin and Disease Resistance, Wallcrawling, Web Creation;71;99;69;90;Neutral;Human;48.6;418.69;0.0;0.0;0.0
Apocalypse (FOX);En Sabah Nur;Shueisha;27/11/84;;6;58;14;48;Bad;Human;67.51;208.71;0.0;1.0;0.0
Aquababy;Arthur Curry, Jr.;DC_Comics;23/4/57;Super Strength, Underwater breathing, Water Control;15;33;57;32;Neutral;God_Eternal;209.23;48.44;1.0;0.0;0.0
Aquagirl I;Tula;Marvel_Comics;20/10/56;Durability, Invulnerability, Self-Sustenance, Super Speed, Super Strength, Telepathy;83;91;80;28;Neutral;Mutant;97.89;868.93;0.0;0.0;0.0
Aqualad II;Jackson Hyde;Other;22/1/60;Adaptation, Durability, Electrokinesis, Element Control, Enhanced Hearing, Enhanced Senses, Enhanced Sight, Invulnerability, Reflexes, Stamina, Super Speed, Super Strength, Underwater breathing, Water Control;35;57;28;36;Good;Alien;151.52;398.81;0.0;0.0;0.0
Aqualad;Garth;Dark_Horse_Comics;26/2/36;;75;29;49;45;Bad;God_Eternal;136.97;194.48;0.0;1.0;1.0
Aquaman (Injustice);Arthur Curry;Dark_Horse_Comics;13/4/94;Accelerated Healing, Agility, Animal Control, Cold Resistance, Durability, Electrokinesis, Element Control, Enhanced Senses, Heat Resistance, Intelligence, Longevity, Peak Human Condition, Portal Creation, Reflexes, Self-Sustenance, Stamina, Stealth, Sub-Mariner, Summoning, Super Speed, Super Strength, Telepathy, Vision - Night, Water Control, Weapon-based Powers, Weapons Master;7;20;94;49;Good;MetaHuman;238.39;284.22;0.0;0.0;0.0
Aquaman;Orin;DC_Comics;13/11/55;;93;13;13;11;Good;Alien;94.64;506.21;0.0;0.0;0.0
Aracnido Jr.;;Other;13/10/73;Agility, Wallcrawling, Web Creation;99;35;22;93;Good;Alien;26.75;682.61;1.0;0.0;0.0
Aragorn;Aragorn II Elessar;Dark_Horse_Comics;8/3/64;Accelerated Healing, Agility, Empathy, Intelligence, Longevity, Marksmanship, Omnilingualism, Stamina, Stealth, Weapon-based Powers, Weapons Master;48;87;10;43;Good;MetaHuman;112.44;820.83;0.0;1.0;0.0
Archangel (FOX);Warren Kenneth Worthington III;Dark_Horse_Comics;24/11/04;Flight, Gliding;47;29;11;59;Neutral;Human;116.6;611.88;0.0;0.0;0.0
Archangel;Warren Kenneth Worthington III ;Shueisha;24/8/90;;87;41;10;72;Good;Mutant;159.42;328.17;0.0;0.0;0.0
Arclight;Philippa Sontag;Lego;28/9/49;Durability, Seismic Power, Stamina, Super Strength;33;6;35;47;Neutral;Mutant;234.75;479.26;0.0;0.0;0.0
Arcturus;Arcturus;Shueisha;24/8/86;Accelerated Healing, Agility, Animal Attributes, Animal Control, Animal Oriented Powers, Camouflage, Cold Resistance, Durability, Endurance, Energy Resistance, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Enhanced Smell, Enhanced Touch, Fire Resistance, Heat Resistance, Intelligence, Invulnerability, Longevity, Marksmanship, Natural Armor, Natural Weapons, Peak Human Condition, Reflexes, Regeneration, Self-Sustenance, Stamina, Stealth, Summoning, Super Speed, Super Strength, Toxin and Disease Resistance, Vision - Infrared, Vision - Microscopic, Vision - Night, Vision - Telescopic, Vision - Thermal, Weapon-based Powers, Weapons Master;65;48;89;76;Bad;Mutant;126.38;512.85;1.0;0.0;0.0
Ardina;Ardina;DC_Comics;20/3/74;Accelerated Healing, Agility, Cold Resistance, Durability, Empathy, Energy Blasts, Energy Manipulation, Enhanced Senses, Flight, Heat Resistance, Invulnerability, Molecular Manipulation, Power Cosmic, Reflexes, Self-Sustenance, Super Speed, Super Strength;25;13;62;63;Neutral;Alien;72.47;617.32;0.0;0.0;0.0
Ariel;Ariel;Lego;4/12/89;Telepathy, Teleportation;43;66;62;78;Neutral;MetaHuman;237.65;608.17;0.0;0.0;1.0
